Epoch 0; static iou: 0.9983918; static pre: 0.99879456; static rec: 0.9995963; moving iou: 0.5808918; moving pre: 0.84684527; moving rec: 0.6490819; mean iou: 0.7896418
Epoch 2; static iou: 0.99823976; static pre: 0.9987976; static rec: 0.9994408; moving iou: 0.55912083; moving pre: 0.7997163; moving rec: 0.6501618; mean iou: 0.7786803
Epoch 4; static iou: 0.99821573; static pre: 0.9982843; static rec: 0.99993116; moving iou: 0.48982483; moving pre: 0.96073216; moving rec: 0.49983174; mean iou: 0.7440203
Epoch 6; static iou: 0.99848425; static pre: 0.998615; static rec: 0.9998688; moving iou: 0.5749641; moving pre: 0.9399945; moving rec: 0.5968713; mean iou: 0.7867242
Epoch 8; static iou: 0.9985317; static pre: 0.99873984; static rec: 0.9997913; moving iou: 0.59627366; moving pre: 0.9116435; moving rec: 0.6328464; mean iou: 0.7974027
Epoch 10; static iou: 0.9987787; static pre: 0.9989471; static rec: 0.99983114; moving iou: 0.6610547; moving pre: 0.93361205; moving rec: 0.69366145; mean iou: 0.8299167
Epoch 12; static iou: 0.99906397; static pre: 0.999233; static rec: 0.9998307; moving iou: 0.7401637; moving pre: 0.9399744; moving rec: 0.77688384; mean iou: 0.8696138
Epoch 14; static iou: 0.9990647; static pre: 0.9991899; static rec: 0.99987465; moving iou: 0.7373407; moving pre: 0.9541661; moving rec: 0.76441514; mean iou: 0.8682027
Epoch 16; static iou: 0.9989228; static pre: 0.9990969; static rec: 0.9998256; moving iou: 0.7011915; moving pre: 0.9351237; moving rec: 0.73704636; mean iou: 0.8500571
Epoch 18; static iou: 0.9988354; static pre: 0.99890476; static rec: 0.9999303; moving iou: 0.6674918; moving pre: 0.9706476; moving rec: 0.6812427; mean iou: 0.8331636
Epoch 20; static iou: 0.99919015; static pre: 0.99931824; static rec: 0.99987173; moving iou: 0.77285486; moving pre: 0.9554125; moving rec: 0.8017731; mean iou: 0.8860225
Epoch 22; static iou: 0.99925643; static pre: 0.99936765; static rec: 0.9998886; moving iou: 0.7906916; moving pre: 0.9616081; moving rec: 0.81646585; mean iou: 0.894974
Epoch 24; static iou: 0.999249; static pre: 0.9993927; static rec: 0.9998561; moving iou: 0.79086715; moving pre: 0.9518016; moving rec: 0.82386184; mean iou: 0.89505804
Epoch 26; static iou: 0.99923766; static pre: 0.9993317; static rec: 0.9999058; moving iou: 0.7845183; moving pre: 0.9672297; moving rec: 0.8059401; mean iou: 0.891878
Epoch 28; static iou: 0.99918467; static pre: 0.999394; static rec: 0.9997905; moving iou: 0.7763886; moving pre: 0.93084514; moving rec: 0.8239117; mean iou: 0.8877866
Epoch 30; static iou: 0.99922; static pre: 0.9993177; static rec: 0.9999022; moving iou: 0.7794089; moving pre: 0.9655619; moving rec: 0.8016949; mean iou: 0.8893144
Epoch 32; static iou: 0.9992333; static pre: 0.99934566; static rec: 0.99988747; moving iou: 0.78392446; moving pre: 0.9609045; moving rec: 0.8097514; mean iou: 0.8915789
Epoch 34; static iou: 0.99920374; static pre: 0.9992967; static rec: 0.9999069; moving iou: 0.77459526; moving pre: 0.9669029; moving rec: 0.79569256; mean iou: 0.8868995
Epoch 36; static iou: 0.99923795; static pre: 0.99934506; static rec: 0.99989283; moving iou: 0.78529567; moving pre: 0.9627472; moving rec: 0.8099058; mean iou: 0.8922668
Epoch 38; static iou: 0.9992424; static pre: 0.99935114; static rec: 0.99989116; moving iou: 0.7861844; moving pre: 0.9620779; moving rec: 0.8113265; mean iou: 0.8927134
Epoch 40; static iou: 0.999216; static pre: 0.99931395; static rec: 0.99990195; moving iou: 0.77819777; moving pre: 0.9653782; moving rec: 0.8005399; mean iou: 0.8887069
Epoch 42; static iou: 0.99921024; static pre: 0.9993232; static rec: 0.9998869; moving iou: 0.7772502; moving pre: 0.9601951; moving rec: 0.80312765; mean iou: 0.8882302
Epoch 44; static iou: 0.99922633; static pre: 0.9993246; static rec: 0.99990153; moving iou: 0.78099996; moving pre: 0.9652637; moving rec: 0.80358493; mean iou: 0.8901131
Epoch 46; static iou: 0.9992534; static pre: 0.99935764; static rec: 0.99989563; moving iou: 0.7894834; moving pre: 0.9639581; moving rec: 0.81349653; mean iou: 0.8943684
